Gene;Ratio;p_value;FDR;hits
LRRC41;0,702626961;0,292510519;0,681568627;FALSE
LONRF1;0,976763989;0,289817672;0,677508197;FALSE
UBE2R2;0,678594304;0,28970547;0,677508197;FALSE
KLHL14;0,78096708;0,289424965;0,677508197;FALSE
TRIM72;0,766615905;0,285610098;0,674304636;FALSE
NEURL1;0,831090878;0,284992987;0,674304636;FALSE
RNF24;1,327637206;0,283646564;0,674133333;FALSE
SH3RF3;0,905945733;0,283618513;0,674133333;FALSE
UBE2K;1,186799243;0,282356241;0,674133333;FALSE
AIRE;1,188439249;0,281767181;0,674133333;FALSE
RNF213;1,143689851;0,280869565;0,674133333;FALSE
UBE2E2;1,407399186;0,280140252;0,674133333;FALSE
NEDD4L;0,723183473;0,275371669;0,667823129;FALSE
NANOGNB;0,769286343;0,274137447;0,667098976;FALSE
CDC16;0,578296509;0,271472651;0,662876712;FALSE
UBE2D2;1,360496873;0,27088359;0,662876712;FALSE
SOCS5;1,294409195;0,269621318;0,662876712;FALSE
FBXW8;1,299072385;0,268920056;0,662876712;FALSE
RNF182;1,246835378;0,266535764;0,659861111;FALSE
PPM1D;0,778856232;0,264347826;0,656724739;FALSE
BIRC2;0,726328561;0,262496494;0,654405594;FALSE
RNF11;0,694071299;0,2571669;0,643368421;FALSE
USP21;0,795083203;0,256633941;0,643368421;FALSE
ZBTB16;1,231583599;0,254782609;0,641908127;FALSE
SOCS3;0,820196533;0,253828892;0,64177305;FALSE
SIAH2;1,134700685;0,253576438;0,64177305;FALSE
SMURF1;0,744788738;0,252482468;0,64177305;FALSE
RBBP5;0,9758374;0,24973352;0,638207885;FALSE
OTUD1;1,375043167;0,249088359;0,638207885;FALSE
KLHL31;1,378251799;0,247573633;0,637256318;FALSE
RFPL4A;0,780226818;0,245974755;0,635434783;FALSE
RNF115;0,797382339;0,24516129;0,635434783;FALSE
ASB16;0,742127705;0,241430575;0,628248175;FALSE
HECW2;0,809244729;0,238653576;0,623296703;FALSE
USP7;0,765793237;0,237587658;0,622794118;FALSE
SMURF2;0,690684847;0,236998597;0,622794118;FALSE
RBBP6;0,815887932;0,2342777;0,618666667;FALSE
PSMD14;1,230058393;0,233828892;0,618666667;FALSE
BTBD1;0,82447845;0,233632539;0,618666667;FALSE
TNFAIP3;1,137515696;0,23200561;0,618666667;FALSE
KCTD6;1,505643201;0,231837307;0,618666667;FALSE
2-Mar;1,312252087;0,231837307;0,618666667;FALSE
TRAF7;1,446202757;0,230687237;0,618666667;FALSE
MNAT1;0,827776846;0,22970547;0,618666667;FALSE
KLHL12;1,009402669;0,228807854;0,618666667;FALSE
BIRC3;1,232275743;0,228527349;0,618666667;FALSE
PML;1,329195447;0,227461431;0,618666667;FALSE
TRIM50;0,891070202;0,227012623;0,618666667;FALSE
USP38;1,258836314;0,226760168;0,618666667;FALSE
MIB2;0,997460171;0,226227209;0,618666667;FALSE
FUS;0,52681068;0,2257223;0,618666667;FALSE
IRAK1;1,202552711;0,225610098;0,618666667;FALSE
9-Mar;0,878503007;0,225469846;0,618666667;FALSE
KLHL17;0,929989601;0,224600281;0,618666667;FALSE
KCTD5;1,543876122;0,224263675;0,618666667;FALSE
FBXL2;0,694434206;0,22342216;0,618666667;FALSE
ZNRF4;1,380593968;0,221514727;0,618666667;FALSE
CUL2;0,739558921;0,221318373;0,618666667;FALSE
UBE2Q2;1,410012685;0,221009818;0,618666667;FALSE
UBE2C;0,439413597;0,220140252;0,618666667;FALSE
ANAPC7;1,269989278;0,220112202;0,618666667;FALSE
MDM4;1,088676192;0,219831697;0,618666667;FALSE
ATG3;1,146119632;0,218120617;0,618666667;FALSE
USP19;0,701414342;0,217503506;0,618666667;FALSE
